Date;Open;High;Low;Close;Adj Close;Volume
13/12/2022;328,00;332,72;317,20;320,34;320,34;10.756.400
14/12/2022;318,97;324,71;314,42;317,83;317,83;7.543.300
15/12/2022;302,12;303,39;286,55;290,41;290,41;17.724.600
16/12/2022;288,76;294,72;288,70;290,71;290,71;14.080.000
19/12/2022;289,73;292,25;286,13;288,30;288,30;6.163.700
20/12/2022;281,24;289,28;280,81;288,19;288,19;6.918.100
21/12/2022;289,99;300,66;286,50;297,96;297,96;6.376.200
22/12/2022;298,09;298,88;290,81;297,75;297,75;7.856.200
23/12/2022;296,18;298,46;291,91;294,96;294,96;4.251.100
27/12/2022;293,19;293,57;282,13;284,17;284,17;5.778.100
28/12/2022;281,92;285,19;273,41;276,88;276,88;5.964.400
29/12/2022;283,18;295,50;281,01;291,12;291,12;9.588.500
30/12/2022;285,53;295,01;283,22;294,88;294,88;7.566.900
